title,description,link,domain
Ciclovia & Cicolruta Programs,"Reduced crime, improved health & social cohesion","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558786/#:~:text=The%20Ciclovia%20program%20is%20a,and%20others%20for%20active%20recreation.",health
Copenhagen Citywide Bicycle Infrastructure,"49% of all commutes are by bike, annual savings of $44 million in health costs",https://www.wonderfulcopenhagen.com/wonderful-copenhagen/international-press/bicycle-friendly-copenhagen,health
New York Times Square Pedestrianization,"71% increase in retail sales, 40% reduction in pedestrian injuries",https://research.library.fordham.edu/cgi/viewcontent.cgi?article=1011&context=environ_theses,health
Mumbai Public Toilet Initiative,1.5 million users. Reduction in sanitation-related illnesses,https://documents1.worldbank.org/curated/en/620841468041130033/pdf/384560IN0Mumbai0slum01PUBLIC1.pdf,health
Vienna Active Transportation Campaigns,30% increase in daily walking and cycling trips. Reduction in obesity rates by 5%.,https://smartcity.wien.gv.at/wp-content/uploads/sites/3/2022/05/scwr_klima_2022_web-EN.pdf,health
Tokyo Urban Greening and Park Development,"Improved mental health indicators among residents, with a reported 20% reduction in stress levels.",https://www.metro.tokyo.lg.jp/english/policies/environment/documents/1221_02_01.pdf,health
New York City Green Cart Initiative,Decrease in diet-related illnesses such as diabetes and hypertension.,https://www.nyc.gov/assets/doh/downloads/pdf/cdp/ccc-green-cart.pdf,health
Seoul Health Monitoring Stations,"Over 1 million users annually. Early detection of chronic illnesses in 15% of users, leading to timely medical intervention.",https://www.koreatimes.co.kr/www/culture/2024/05/135_357985.html,health
Barcelona Urban Walking Routes,25% increase in daily walking trips. Reduced incidence of heart disease and obesity,https://www.barcelona.cat/mobilitat/en/about-us/urban-mobility-plan,health
Amsterdam Smoke-Free Zones in Public Areas,Reduced exposure to secondhand smoke for children and decrease in smoking-related litter,https://www.barcelona.cat/mobilitat/en/about-us/urban-mobility-plan,health
London Low Emission Zone,Decrease in respiratory and cardiovascular hospital admissions by 8%.,https://content.tfl.gov.uk/lez-impacts-monitoring-baseline-report-appendix-2.pdf,health
Built-to-Play - 90 kids-play parks in Southeast Michigan and Western New York,"70% of kids observed in play spaces and skate parks were being physically active. 68% of adults observed in play spaces were actively engaged in a social activity, including many elders who valued opportunities to connect.",https://www.rwbuilttoplay.org/,culture
Bujairi Terrace,Renovation and investment in historical bujairi is expected to receive 7 million tourists annually.,https://www.dgda.gov.sa/media-center/news/news-articles/bujairi-terrace-opening-2022-diriyah.aspx,culture
The Cultural Quarter of Zorlu Center,"The Zorlu Performing Arts Center hosts over 200 performances annually, attracting both local and international audiences. Regular exhibitions and cultural events enrich Istanbul's cultural scene. The center has created thousands of jobs in retail, hospitality, and cultural sectors.",https://zinco-greenroof.co.uk/press-release/zorlu-center-green-superlatives,culture
The Regeneration of the Gothic Quarter,"Numerous historic buildings have been restored, maintaining the architectural heritage. Increase in the number of cultural institutions and art galleries. Hosting numerous cultural festivals and public events, boosting local engagement. Significant increase in local businesses, including shops, restaurants, and cultural enterprises. Restoration projects have led to a rise in property values and investment.",https://www.tandfonline.com/doi/abs/10.1080/1743873X.2013.815760,culture
"The Preservation of the Old Town, Tallinn",Numerous buildings have been restored to their historical appearance. Increased public awareness and education about heritage preservation. Significant contribution to the local economy from tourism. Increase in the number and quality of museums and cultural centers. 1.29 million annual tourists.,https://whc.unesco.org/en/list/822/,culture
Rotterdam Afrikaanderwijk Cooperative,Created over 50 jobs for local residents. Generated $1.5 million in local revenue. Increased social cohesion by increasing diversity in neighborhoods.,"https://wijkcooperatie.org/#:~:text=De%20Afrikaanderwijk%20Co%C3%B6peratie%20maakt%20de,een%20gedeelde%20verantwoordelijkheid%20en%20participatie.",economy
The Tech Industry Boom in Bengaluru,"Funding for infrastructure and development came from a mix of state and central government budgets, private sector investments, and international partnerships. Incentives and tax breaks were offered to attract IT companies. Contribution of IT exports to India's GDP, with Bengaluru accounting for over 30% of the country's software exports. Employment of over 1.5 million people directly in the tech sector and additional jobs in related industries.",https://www.bloomberg.com/news/articles/2023-09-27/india-s-tech-boom-has-fueled-bangalore-s-growth,economy
The Economic Revitalization of Pittsburgh,"Significant growth in healthcare and education sectors, with UPMC becoming one of the largest employers. Emergence of a robust tech sector, with companies like Google and Uber establishing a presence. Conversion of former industrial sites into commercial and residential areas. Development of cultural districts and recreational spaces to enhance urban living.",https://www.publicsource.org/power-shift-pittsburgh-allegheny-leadership-turnover-economic-development-urban-penguins/,economy
Riyadh's economic bloom,Strong investments towards digitilization and non-oil investments. Contributing to 50% of the country's non-oil investments.,https://www.imf.org/en/News/Articles/2023/09/28/cf-saudi-arabias-economy-grows-as-it-diversifies,economy
The High Line in New York City,"Significant increase in property values in the neighborhoods adjacent to the High Line. Attracted millions of visitors annually, boosting local businesses and tourism. Encouraged new residential and commercial developments along the High Line corridor.",https://www.thehighline.org/,economy
Community Learning Centers in New Delhi,"Increase in Enrollment 20% increase in school enrollment rates within the communities served. Improved Academic Performance Students attending CLCs showed a 15% improvement in their standardized test scores. Approximately $1,000 per center annually, funded through local NGOs and community contributions.",https://ashanet.org/projects/,education
Education Superhighway in San Francisco,Providing affordable high-speed internet to underserved public schools. Internet access in schools improved by 50%. 70% of teachers reported increased use of digital learning tools.,https://www.educationsuperhighway.org/,education
School Feeding Programs in Lagos,"Implementation of a school feeding program to provide free meals to students. 25% increase in school enrollment. 30% reduction in absenteeism. $0.25 per meal, funded by government and international aid agencies.",https://www.wfp.org/school-meals,education
Edible Schoolyards in Berkeley,"Creating garden-based learning programs in schools. Students involved in garden programs scored 12% higher in science. 40% of students reported increased knowledge of nutrition. Initial setup cost of $2,500 per garden, with ongoing costs covered by local fundraising.",https://edibleschoolyard.org/,education
