title,description,link,domain
Ciclovia & Cicolruta Programs,"Reduced crime, improved health & social cohesion","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558786/#:~:text=The%20Ciclovia%20program%20is%20a,and%20others%20for%20active%20recreation.",health
Copenhagen Citywide Bicycle Infrastructure,"49% of all commutes are by bike, annual savings of $44 million in health costs",https://www.wonderfulcopenhagen.com/wonderful-copenhagen/international-press/bicycle-friendly-copenhagen,health
New York Times Square Pedestrianization,"71% increase in retail sales, 40% reduction in pedestrian injuries",https://research.library.fordham.edu/cgi/viewcontent.cgi?article=1011&context=environ_theses,health
Mumbai Public Toilet Initiative,1.5 million users. Reduction in sanitation-related illnesses,https://documents1.worldbank.org/curated/en/620841468041130033/pdf/384560IN0Mumbai0slum01PUBLIC1.pdf,health
Vienna Active Transportation Campaigns,30% increase in daily walking and cycling trips. Reduction in obesity rates by 5%.,https://smartcity.wien.gv.at/wp-content/uploads/sites/3/2022/05/scwr_klima_2022_web-EN.pdf,health
Tokyo Urban Greening and Park Development,"Improved mental health indicators among residents, with a reported 20% reduction in stress levels.",https://www.metro.tokyo.lg.jp/english/policies/environment/documents/1221_02_01.pdf,health
New York City Green Cart Initiative,Decrease in diet-related illnesses such as diabetes and hypertension.,https://www.nyc.gov/assets/doh/downloads/pdf/cdp/ccc-green-cart.pdf,health
Seoul Health Monitoring Stations,"Over 1 million users annually. Early detection of chronic illnesses in 15% of users, leading to timely medical intervention.",https://www.koreatimes.co.kr/www/culture/2024/05/135_357985.html,health
Barcelona Urban Walking Routes,25% increase in daily walking trips. Reduced incidence of heart disease and obesity,https://www.barcelona.cat/mobilitat/en/about-us/urban-mobility-plan,health
Amsterdam Smoke-Free Zones in Public Areas,Reduced exposure to secondhand smoke for children and decrease in smoking-related litter,https://www.barcelona.cat/mobilitat/en/about-us/urban-mobility-plan,health
London Low Emission Zone,Decrease in respiratory and cardiovascular hospital admissions by 8%.,https://content.tfl.gov.uk/lez-impacts-monitoring-baseline-report-appendix-2.pdf,health
